"PGSC_phenotype","GENIE_phenotype"
"Alanine aminotransferase","Alanine aminotransferase"
"Alkaline phosphatase","Alkaline phosphatase"
"Apolipoprotein A","Apolipoprotein A"
"Aspartate aminotransferase","Aspartate aminotransferase"
"BMD Heel T-score","BMD Heel T-score"
"BMI","Body mass index"
"Cholesterol","Cholesterol"
"Creatinine","Creatinine"
"Cystatin C","Cystatin-C"
"Diastolic BP","Diastolic blood pressure"
"Eosinophil count","Eosinophil count"
"FEV1/FVC ratio","FEV1-FVC ratio"
"Gamma glutamyltransferase","Gamma glutamyltransferase"
"HbA1c","Hemoglobin A1c"
"HDL","HDL cholesterol"
"Height","Height"
"IGF-1","IGF-1"
"LDL","LDL direct"
"Leukocyte count","White blood cell count"
"Lymphocyte count","Lymphocyte count"
"Monocyte count","Monocyte count"
"Phosphate","Phosphate"
"Platelet count","Platelet count"
"Platelet volume","Mean platelet volume"
"RBC","RBC count"
"SHBG","SHBG"
"Systolic BP","Systolic blood pressure"
"Testosterone","Testosterone"
"Triglycerides","Triglycerides"
"Urate","Urate"
"Urea","Urea"
"Vitamin D","Vitamin D"
"WHR adj BMI","Waist-hip ratio"
