"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"Alanine aminotransferase",0.0033,0,0.1575,1e-04,0.0033,0.6779,0,-3.03030303030303,6.06060606060606,0.1577,0.0097,0.0615091946734306,1e-04,0.0035,0.3014,6.06060606060606,-6.06060606060606,18.1818181818182,0.1574,0.0138,-0.0043,11.4057971014493,-36.6046511627907,1e-04,0.05
"Alkaline phosphatase",0.0195,0,0.2893,0.001,0.0197,0.3176,1.02564102564103,-1.02564102564103,2.56410256410256,0.2889,-0.0137,-0.0474212530287297,0.001,0.0194,0.7143,-1.02564102564103,-4.1025641025641,3.07692307692308,0.2876,-2e-04,-0.0187,-1438,-15.379679144385,0.001,1e-06
"Apolipoprotein A",0.0204,0,0.2801,0.01,0.0204,0.9713,0,-0.980392156862745,0.980392156862745,0.2798,-0.0099,-0.0353824160114367,0.01,0.0205,0.5591,0.490196078431373,-0.980392156862745,1.47058823529412,0.2803,-0.0028,0.0115,-100.107142857143,24.3739130434783,0.01,0.05
"Apolipoprotein A 0",0.0207,0,0.2801,0.01,0.0207,0.8499,0,-0.966183574879227,0.966183574879227,0.2799,-0.0081,-0.0289389067524116,0.01,0.0203,0.016,-1.93236714975845,-3.38164251207729,-0.483091787439614,0.2801,0.0067,-0.0076,41.8059701492537,-36.8552631578947,0.01,1e-04
"Apolipoprotein B",0.1024,0,0.3361,1e-04,0.1031,0.2742,0.68359375,-0.48828125,1.85546875,0.3376,0.0349,0.103376777251185,1e-04,0.1186,2e-04,15.72265625,10.7421875,20.99609375,0.2814,0.0842,0.0613,3.34204275534442,4.5905383360522,1e-04,1e-08
"Apolipoprotein B 0",0.1036,0,0.3393,1e-04,0.1047,0.1298,0.965250965250965,-0.28957528957529,2.31660231660232,0.341,0.0391,0.11466275659824,1e-04,0.1285,2e-04,23.9382239382239,18.1467181467181,29.8262548262548,0.2612,0.1048,0.0784,2.49236641221374,3.33163265306122,1e-04,1e-08
"Arm fat-free mass left",0.0146,0,0.1813,0.1,0.0146,0.5451,-0.684931506849315,-2.05479452054794,0.684931506849315,0.1815,0.0084,0.0462809917355372,0.1,0.0146,0.496,-0.684931506849315,-2.05479452054794,0.684931506849315,0.1811,0.0045,0.0012,40.2444444444444,150.916666666667,0.1,0.01
"Arm fat-free mass left 0",0.018,0,0.1842,0.05,0.018,0.6847,0,-0.555555555555556,0.555555555555556,0.1843,0.0042,0.0227889310906131,0.05,0.018,0.9723,0,-2.22222222222222,2.22222222222222,0.1841,0.0081,0.0011,22.7283950617284,167.363636363636,0.05,0.05
"Aspartate aminotransferase",0.0011,0.0048,0.1224,0.001,0.0011,0.2138,0,-9.09090909090909,0,0.1223,-0.0048,-0.0392477514309076,0.001,0.0013,0.303,9.09090909090909,-9.09090909090909,27.2727272727273,0.1224,0,-0.0176,Inf,-6.95454545454545,0.001,1e-04
"Basophil count",0.0034,0,0.1001,1e-08,0.0034,0.7243,0,-8.8235294117647,5.88235294117647,0.1005,0.0097,0.0965174129353234,1e-08,0.0032,0.0724,-5.88235294117647,-17.6470588235294,0,0.1001,8e-04,0.0114,125.125,8.78070175438596,1e-08,0.05
"Bilirubin",0.1529,0,0.4938,1e-10,0.1526,0.4832,-0.196206671026815,-0.850228907782865,0.39241334205363,0.4946,0.0304,0.0614638091386979,1e-10,0.2132,2e-04,39.4375408763898,33.0935251798561,46.7625899280575,0.274,0.1986,0.1821,1.37965760322256,1.50466776496431,1e-10,1e-10
"Bilirubin 0",0.1984,0,0.4932,1e-10,0.1984,0.8043,-0.0504032258064516,-0.352822580645161,0.30241935483871,0.4938,0.021,0.0425273390036452,1e-10,0.3004,2e-04,51.3608870967742,46.1693548387097,56.6532258064516,0.1814,0.2588,0.2569,0.700927357032458,0.706111327364733,1e-10,1e-10
"Birth weight",0.0067,3e-04,0.1424,0.005,0.0067,0.5425,-1.49253731343284,-4.47761194029851,2.98507462686567,0.143,-0.0055,-0.0384615384615385,0.005,0.0069,0.6331,2.98507462686567,-7.46268656716418,14.9253731343284,0.1423,0.01,-0.0122,14.23,-11.6639344262295,0.005,0.5
"BMI",0.0129,0,0.2971,0.05,0.0129,0.8263,0,-1.55038759689922,2.32558139534884,0.2977,0.0186,0.0624790057104467,0.05,0.0126,0.1092,-2.32558139534884,-5.42635658914729,0.775193798449612,0.2967,0.0155,-0.0088,19.141935483871,-33.7159090909091,0.05,0.5
"Calcium",0.0061,0,0.2132,0.001,0.0059,0.132,-3.27868852459016,-6.55737704918033,1.63934426229508,0.2127,-0.0148,-0.0695815702867889,0.001,0.0059,0.107,-3.27868852459016,-8.19672131147541,0,0.2133,0.0096,-0.0083,22.21875,-25.6987951807229,0.001,0.5
"Cholesterol",0.0539,0,0.2519,1e-06,0.0545,0.417,1.11317254174397,-1.66975881261596,3.71057513914657,0.2533,0.0453,0.178839320963285,1e-06,0.0681,2e-04,26.3450834879406,17.4397031539889,35.4359925788497,0.2101,0.0767,0.0445,2.73924380704042,4.72134831460674,1e-06,1e-08
"Creatinine",0.0012,0.0033,0.1527,0.01,0.0012,0.1604,-8.33333333333333,-16.6666666666667,0,0.1523,-0.011,-0.072225869993434,0.01,0.0012,0.6697,0,-25,8.33333333333333,0.1518,0.0086,-0.0224,17.6511627906977,-6.77678571428571,0.01,1e-10
"Creatinine urine",0.0013,0.0022,0.0786,0.1,0.0013,0.6095,0,0,0,0.0785,-4e-04,-0.00509554140127389,0.1,0.0013,0.7799,0,-23.0769230769231,30.7692307692308,0.0783,0.0098,-0.0053,7.98979591836735,-14.7735849056604,0.1,0.5
"Cystatin C",0.0041,0,0.2275,0.005,0.0041,0.7489,0,-4.8780487804878,7.31707317073171,0.2271,-0.0171,-0.0752972258916777,0.005,0.0046,0.165,12.1951219512195,-4.8780487804878,29.2682926829268,0.2129,-0.029,-0.0554,-7.34137931034483,-3.84296028880866,0.005,1e-08
"Diastolic BP",0.0031,0,0.1716,0.05,0.0032,0.141,6.45161290322581,0,12.9032258064516,0.1722,0.0181,0.105110336817654,0.05,0.0033,0.487,6.45161290322581,-12.9032258064516,25.8064516129032,0.1701,0.0269,0.0083,6.32342007434944,20.4939759036145,0.05,0.5
"Eosinophil count",0.0051,0,0.2332,0.01,0.0051,0.7025,0,-1.96078431372549,1.96078431372549,0.2334,0.0068,0.0291345329905741,0.01,0.005,0.5385,-1.96078431372549,-9.80392156862745,3.92156862745098,0.233,0.0164,0.0032,14.2073170731707,72.8125,0.01,0.01
"FEV1/FVC ratio",NA,NA,0.2479,0.05,NA,NA,NA,NA,NA,0.2477,0.0214,0.0863948324586193,0.05,NA,NA,NA,NA,NA,0.2477,0.0131,-0.0057,18.9083969465649,-43.4561403508772,0.05,0.005
"Gamma glutamyltransferase",0.0041,0,0.1748,1e-04,0.0041,0.9821,0,-2.4390243902439,2.4390243902439,0.1746,-0.0088,-0.0504009163802978,1e-04,0.0044,0.112,9.75609756097561,-2.4390243902439,19.5121951219512,0.1669,-0.0132,-0.0236,-12.6439393939394,-7.07203389830508,1e-04,1e-06
"Glucose",9e-04,0.0133,0.0976,1e-08,9e-04,0.35,0,-11.1111111111111,0,0.0975,-0.0064,-0.0656410256410256,1e-08,0.001,0.7589,0,-22.2222222222222,33.3333333333333,0.0979,-0.0035,-0.0128,-27.9714285714286,-7.6484375,1e-08,0.01
"HbA1c",0.0054,0,0.1966,0.01,0.0053,0.4252,-1.85185185185185,-7.40740740740741,3.7037037037037,0.1961,-0.0186,-0.0948495665476797,0.01,0.006,0.214,11.1111111111111,-5.55555555555555,29.6296296296296,0.1944,-0.0159,-0.0333,-12.2264150943396,-5.83783783783784,0.01,1e-08
"HbA1c 0",0.0089,0,0.2422,0.01,0.0087,0.1416,-1.12359550561798,-3.37078651685393,0,0.2419,-0.0117,-0.0483670938404299,0.01,0.0094,0.4048,5.61797752808989,-7.86516853932584,20.2247191011236,0.2456,-0.0235,-0.039,-10.4510638297872,-6.2974358974359,0.01,1e-06
"HDL",0.0328,0,0.2968,0.01,0.0331,0.0134,0.914634146341463,0.304878048780488,1.82926829268293,0.2965,-0.0097,-0.0327150084317032,0.01,0.0327,0.7633,-0.304878048780488,-2.13414634146341,1.52439024390244,0.2968,-0.0041,0.0104,-72.390243902439,28.5384615384615,0.01,1e-06
"HDL 0",0.0312,0,0.3042,0.01,0.0314,0.0984,0.320512820512821,0,0.961538461538461,0.304,-0.0073,-0.0240131578947368,0.01,0.031,0.1322,-0.641025641025641,-1.6025641025641,0.320512820512821,0.3044,0.004,0.0074,76.1,41.1351351351351,0.01,0.005
"BMD Heel T-score",0.0122,0,0.2967,1e-04,0.0122,0.8479,0,-2.45901639344262,2.45901639344262,0.2964,-0.011,-0.0371120107962213,1e-04,0.0123,0.1094,0.819672131147541,0,2.45901639344262,0.2944,0.002,-0.0161,147.2,-18.2857142857143,1e-04,1e-06
"Height",0.0355,0,0.3432,0.01,0.0354,0.3892,0,-0.563380281690141,0.28169014084507,0.3433,0.0057,0.0166035537430819,0.01,0.0354,0.359,-0.28169014084507,-0.845070422535211,0.28169014084507,0.3432,0.0033,0.0065,104,52.8,0.01,1e-04
"Height 0",0.035,0,0.3427,0.01,0.035,0.3214,0,-0.285714285714286,0,0.3427,0.003,0.00875401225561716,0.01,0.035,0.8313,0,-0.285714285714286,0.285714285714286,0.3427,-8e-04,0.005,-428.375,68.54,0.01,0.01
