"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"Alanine aminotrans",0.0124,0,0.1575,1e-04,0.0126,0.3314,1.61290322580645,-1.61290322580645,5.64516129032258,0.1577,0.0097,0.0615091946734306,1e-04,0.013,0.292,4.83870967741935,-4.03225806451613,15.3225806451613,0.1574,0.0138,-0.0043,11.4057971014493,-36.6046511627907,1e-04,0.05
"Alkaline phosphatase",0.042,0,0.2893,0.001,0.042,0.8895,0,-1.66666666666667,1.66666666666667,0.2889,-0.0137,-0.0474212530287297,0.001,0.0416,0.7189,-1.19047619047619,-6.9047619047619,4.52380952380952,0.2876,-2e-04,-0.0187,-1438,-15.379679144385,0.001,1e-06
"Apolipoprotein A",0.0464,0,0.2801,0.01,0.0465,0.8143,0.21551724137931,-1.07758620689655,1.29310344827586,0.2798,-0.0099,-0.0353824160114367,0.01,0.0467,0.409,0.646551724137931,-0.862068965517242,1.93965517241379,0.2803,-0.0028,0.0115,-100.107142857143,24.3739130434783,0.01,0.05
"Apolipoprotein A 0",0.0465,0,0.2801,0.01,0.0466,0.7281,0.21505376344086,-0.860215053763441,1.0752688172043,0.2799,-0.0081,-0.0289389067524116,0.01,0.0465,0.9625,0,-1.93548387096774,1.72043010752688,0.2801,0.0067,-0.0076,41.8059701492537,-36.8552631578947,0.01,1e-04
"Apolipoprotein B",0.0708,0,0.3361,1e-04,0.0714,0.5045,0.847457627118644,-1.69491525423729,3.38983050847458,0.3376,0.0349,0.103376777251185,1e-04,0.092,2e-04,29.9435028248588,19.4915254237288,41.1016949152542,0.2814,0.0842,0.0613,3.34204275534442,4.5905383360522,1e-04,1e-08
"Apolipoprotein B 0",0.0701,0,0.3393,1e-04,0.071,0.3908,1.28388017118402,-1.71184022824536,4.27960057061341,0.341,0.0391,0.11466275659824,1e-04,0.1028,2e-04,46.6476462196862,32.3823109843081,61.9115549215407,0.2612,0.1048,0.0784,2.49236641221374,3.33163265306122,1e-04,1e-08
"Arm fat-free mass left",0.0334,0,0.1813,0.1,0.0334,0.8643,0,-1.49700598802395,1.79640718562874,0.1815,0.0084,0.0462809917355372,0.1,0.0333,0.7125,-0.29940119760479,-1.79640718562874,1.19760479041916,0.1811,0.0045,0.0012,40.2444444444444,150.916666666667,0.1,0.01
"Arm fat-free mass left 0",0.0395,0,0.1842,0.05,0.0395,0.6727,-0.253164556962025,-1.0126582278481,0.506329113924051,0.1843,0.0042,0.0227889310906131,0.05,0.0395,0.9915,0,-2.53164556962025,2.53164556962025,0.1841,0.0081,0.0011,22.7283950617284,167.363636363636,0.05,0.05
"Aspartate aminotrans",0.0074,0,0.1224,0.001,0.0073,0.3566,-1.35135135135135,-4.05405405405405,1.35135135135135,0.1223,-0.0048,-0.0392477514309076,0.001,0.0071,0.312,-2.7027027027027,-10.8108108108108,2.7027027027027,0.1224,0,-0.0176,Inf,-6.95454545454545,0.001,1e-04
"Basophill count",0.0051,5e-04,0.1001,1e-08,0.0052,0.5755,1.96078431372549,-5.88235294117647,11.7647058823529,0.1005,0.0097,0.0965174129353234,1e-08,0.0051,0.9057,0,-7.84313725490196,9.80392156862745,0.1001,8e-04,0.0114,125.125,8.78070175438596,1e-08,0.05
"Bilirubin",0.0635,0,0.4938,1e-10,0.0626,0.2504,-1.41732283464567,-4.25196850393701,0.94488188976378,0.4946,0.0304,0.0614638091386979,1e-10,0.114,2e-04,79.5275590551181,56.8503937007874,103.937007874016,0.274,0.1986,0.1821,1.37965760322256,1.50466776496431,1e-10,1e-10
"Bilirubin 0",0.0561,0,0.4932,1e-10,0.0556,0.21,-0.89126559714795,-2.31729055258467,0.53475935828877,0.4938,0.021,0.0425273390036452,1e-10,0.1154,2e-04,105.704099821747,78.25311942959,134.9376114082,0.1814,0.2588,0.2569,0.700927357032458,0.706111327364733,1e-10,1e-10
"Birth weight",0.0186,0,0.1424,0.005,0.0181,0.0382,-3.2258064516129,-6.45161290322581,0,0.143,-0.0055,-0.0384615384615385,0.005,0.0199,0.0798,6.45161290322581,-0.537634408602151,15.5913978494624,0.1423,0.01,-0.0122,14.23,-11.6639344262295,0.005,0.5
"BMI",0.0335,0,0.2971,0.05,0.0332,0.5365,-0.895522388059701,-3.28358208955224,1.49253731343284,0.2977,0.0186,0.0624790057104467,0.05,0.0324,0.0452,-2.98507462686567,-6.26865671641791,0,0.2967,0.0155,-0.0088,19.141935483871,-33.7159090909091,0.05,0.5
"Calcium",0.0086,0,0.2132,0.001,0.0083,0.3658,-2.32558139534884,-9.30232558139535,3.48837209302326,0.2127,-0.0148,-0.0695815702867889,0.001,0.0081,0.1014,-4.65116279069767,-11.6279069767442,1.16279069767442,0.2133,0.0096,-0.0083,22.21875,-25.6987951807229,0.001,0.5
"Cholesterol",0.0448,0,0.2519,1e-06,0.0461,0.3218,2.67857142857143,-2.67857142857143,8.03571428571428,0.2533,0.0453,0.178839320963285,1e-06,0.0615,2e-04,37.2767857142857,20.5357142857143,55.3571428571429,0.2101,0.0767,0.0445,2.73924380704042,4.72134831460674,1e-06,1e-08
"Creatinine",0.0095,0,0.1527,0.01,0.0097,0.4122,2.10526315789474,-2.10526315789474,9.47368421052632,0.1523,-0.011,-0.072225869993434,0.01,0.0095,0.8815,0,-6.31578947368421,4.21052631578947,0.1518,0.0086,-0.0224,17.6511627906977,-6.77678571428571,0.01,1e-10
"Creatinine urine",2e-04,0.4963,0.0786,0.1,2e-04,0.9205,0,0,0,0.0785,-4e-04,-0.00509554140127389,0.1,1e-04,0.6219,-50,-400,200,0.0783,0.0098,-0.0053,7.98979591836735,-14.7735849056604,0.1,0.5
"Cystatin C",0.0193,0,0.2275,0.005,0.0193,0.9525,0,-3.62694300518135,4.66321243523316,0.2271,-0.0171,-0.0752972258916777,0.005,0.0226,0.0048,17.0984455958549,5.18134715025907,32.1243523316062,0.2129,-0.029,-0.0554,-7.34137931034483,-3.84296028880866,0.005,1e-08
"Diastolic BP",0.0146,0,0.1716,0.05,0.0142,0.31,-2.73972602739726,-8.9041095890411,2.73972602739726,0.1722,0.0181,0.105110336817654,0.05,0.0153,0.5077,4.10958904109589,-8.9041095890411,17.8082191780822,0.1701,0.0269,0.0083,6.32342007434944,20.4939759036145,0.05,0.5
"Eosinophill count",0.0205,0,0.2332,0.01,0.0203,0.383,-0.48780487804878,-1.95121951219512,0.48780487804878,0.2334,0.0068,0.0291345329905741,0.01,0.0192,0.0374,-6.34146341463415,-12.6829268292683,-0.48780487804878,0.233,0.0164,0.0032,14.2073170731707,72.8125,0.01,0.01
