"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1","c_effect","PGS_pv_ols"
"Alanine aminotransferase",0.0207,0,0.1575,1e-04,0.0207,0.8317,0,-0.966183574879227,1.44927536231884,0.1577,0.0097,0.0615091946734306,1e-04,0.0204,0.147,-1.44927536231884,-2.89855072463768,0.483091787439614,0.1574,0.0138,-0.0043,11.4057971014493,-36.6046511627907,1e-04,0.05,0.013074977127858,4.17768449866743e-110
"Alkaline phosphatase",0.0835,0,0.2893,0.001,0.0835,0.7941,0,-0.359281437125748,0.479041916167665,0.2889,-0.0137,-0.0474212530287297,0.001,0.084,0.0146,0.598802395209581,0.119760479041916,1.19760479041916,0.2876,-2e-04,-0.0187,-1438,-15.379679144385,0.001,1e-06,-0.159680186789217,0
"Apolipoprotein A",0.0872,0,0.2801,0.01,0.0871,0.5373,-0.114678899082569,-0.344036697247706,0.229357798165138,0.2798,-0.0099,-0.0353824160114367,0.01,0.0871,0.7295,-0.114678899082569,-0.458715596330275,0.229357798165138,0.2803,-0.0028,0.0115,-100.107142857143,24.3739130434783,0.01,0.05,-0.085553751870828,0
"Apolipoprotein A 0",0.0888,0,0.2801,0.01,0.0888,0.4914,-0.112612612612613,-0.337837837837838,0.112612612612613,0.2799,-0.0081,-0.0289389067524116,0.01,0.0889,0.9265,0,-0.337837837837838,0.337837837837838,0.2801,0.0067,-0.0076,41.8059701492537,-36.8552631578947,0.01,1e-04,-0.0834650789319645,0
"Apolipoprotein B",0.1067,0,0.3361,1e-04,0.1071,0.3182,0.374882849109653,-0.374882849109653,1.03092783505155,0.3376,0.0349,0.103376777251185,1e-04,0.1132,2e-04,6.09184629803186,4.12371134020619,8.15370196813496,0.2814,0.0842,0.0613,3.34204275534442,4.5905383360522,1e-04,1e-08,-0.0589940767071997,0
"Apolipoprotein B 0",0.1089,0,0.3393,1e-04,0.1095,0.2372,0.459136822773186,-0.275482093663912,1.28558310376492,0.341,0.0391,0.11466275659824,1e-04,0.1183,2e-04,8.6317722681359,6.24426078971533,11.0192837465565,0.2612,0.1048,0.0784,2.49236641221374,3.33163265306122,1e-04,1e-08,-0.05585485582325,0
"Arm fat-free mass left",0.0946,0,0.1813,0.1,0.0949,0.0762,0.317124735729387,0,0.634249471458774,0.1815,0.0084,0.0462809917355372,0.1,0.0945,0.3894,-0.105708245243129,-0.317124735729387,0.105708245243129,0.1811,0.0045,0.0012,40.2444444444444,150.916666666667,0.1,0.01,0.0654870879772328,0
"Arm fat-free mass left 0",0.104,0,0.1842,0.05,0.104,0.4462,0.0961538461538462,-0.0961538461538462,0.192307692307692,0.1843,0.0042,0.0227889310906131,0.05,0.1041,0.6495,0.0961538461538462,-0.288461538461538,0.480769230769231,0.1841,0.0081,0.0011,22.7283950617284,167.363636363636,0.05,0.05,0.057274763567949,0
"Aspartate aminotransferase",0.0132,0,0.1224,0.001,0.0132,0.335,-0.757575757575758,-1.51515151515152,0.757575757575758,0.1223,-0.0048,-0.0392477514309076,0.001,0.013,0.2276,-1.51515151515152,-3.78787878787879,0.757575757575758,0.1224,0,-0.0176,Inf,-6.95454545454545,0.001,1e-04,-0.0449818604494298,1.47342525809301e-70
"Basophil count",0.0114,0,0.1001,1e-08,0.0115,0.7825,0,-2.63157894736842,2.63157894736842,0.1005,0.0097,0.0965174129353234,1e-08,0.0113,0.5451,-0.87719298245614,-3.50877192982456,1.75438596491228,0.1001,8e-04,0.0114,125.125,8.78070175438596,1e-08,0.05,0.0149230124290088,2.04497698857398e-62
"Bilirubin",0.2525,0,0.4938,1e-10,0.2536,0.0098,0.435643564356436,0.118811881188119,0.792079207920792,0.4946,0.0304,0.0614638091386979,1e-10,0.2837,2e-04,12.3960396039604,10.5742574257426,14.1386138613861,0.274,0.1986,0.1821,1.37965760322256,1.50466776496431,1e-10,1e-10,0.024984423972789,0
"Bilirubin 0",0.2607,0,0.4932,1e-10,0.2612,0.0772,0.15343306482547,0,0.345224395857307,0.4938,0.021,0.0425273390036452,1e-10,0.304,2e-04,16.5707710011507,14.8830072880706,18.2968929804373,0.1814,0.2588,0.2569,0.700927357032458,0.706111327364733,1e-10,1e-10,0.018885373569414,0
"Birth weight",0.0154,0,0.1424,0.005,0.0154,0.7825,0,-1.2987012987013,0.649350649350649,0.143,-0.0055,-0.0384615384615385,0.005,0.0154,0.8451,-0.649350649350649,-3.8961038961039,3.24675324675325,0.1423,0.01,-0.0122,14.23,-11.6639344262295,0.005,0.5,0.00556726235508132,1.42901866107961e-45
"BMI",0.0757,0,0.2971,0.05,0.0758,0.7823,0.132100396301189,-0.396301188903567,0.528401585204756,0.2977,0.0186,0.0624790057104467,0.05,0.0759,0.4114,0.264200792602378,-0.396301188903567,0.792602377807133,0.2967,0.0155,-0.0088,19.141935483871,-33.7159090909091,0.05,0.5,-0.0647673132616447,0
"Calcium",0.041,0,0.2132,0.001,0.0409,0.5203,-0.24390243902439,-1.21951219512195,0.48780487804878,0.2127,-0.0148,-0.0695815702867889,0.001,0.0409,0.6677,-0.24390243902439,-0.975609756097561,0.731707317073171,0.2133,0.0096,-0.0083,22.21875,-25.6987951807229,0.001,0.5,-0.0413848966235369,1.83826517956931e-200
"Cholesterol",0.0684,0,0.2519,1e-06,0.0689,0.35,0.730994152046784,-0.730994152046784,2.33918128654971,0.2533,0.0453,0.178839320963285,1e-06,0.0736,2e-04,7.60233918128655,4.67836257309941,10.672514619883,0.2101,0.0767,0.0445,2.73924380704042,4.72134831460674,1e-06,1e-08,-0.0607549211609988,0
"Creatinine",0.0241,0,0.1527,0.01,0.0241,0.9651,0,-0.829875518672199,1.2448132780083,0.1523,-0.011,-0.072225869993434,0.01,0.0245,0.2524,1.2448132780083,-0.829875518672199,4.149377593361,0.1518,0.0086,-0.0224,17.6511627906977,-6.77678571428571,0.01,1e-10,-0.0468821970026197,1.89985089167335e-128
"Creatinine urine",0.0063,0,0.0786,0.1,0.0063,0.8607,0,0,0,0.0785,-4e-04,-0.00509554140127389,0.1,0.0061,0.2312,-3.17460317460317,-7.93650793650794,1.58730158730159,0.0783,0.0098,-0.0053,7.98979591836735,-14.7735849056604,0.1,0.5,0.0501234061962198,4.16276483472433e-35
"Cystatin C",0.0493,0,0.2275,0.005,0.0496,0.085,0.608519269776876,0,1.41987829614604,0.2271,-0.0171,-0.0752972258916777,0.005,0.0528,2e-04,7.09939148073022,4.05679513184584,10.3448275862069,0.2129,-0.029,-0.0554,-7.34137931034483,-3.84296028880866,0.005,1e-08,-0.252716197672473,1.42639529700421e-263
"Diastolic BP",0.0304,0,0.1716,0.05,0.0306,0.3028,0.657894736842105,-0.657894736842105,1.97368421052632,0.1722,0.0181,0.105110336817654,0.05,0.0306,0.5923,0.657894736842105,-1.97368421052632,3.28947368421053,0.1701,0.0269,0.0083,6.32342007434944,20.4939759036145,0.05,0.5,-0.0419108025704466,6.36097279230818e-162
"Eosinophil count",0.0529,0,0.2332,0.01,0.0529,0.9795,0,-0.378071833648393,0.378071833648393,0.2334,0.0068,0.0291345329905741,0.01,0.0526,0.2224,-0.56710775047259,-1.32325141776938,0.378071833648393,0.233,0.0164,0.0032,14.2073170731707,72.8125,0.01,0.01,-0.00909182650386325,1.01293008940835e-287
"FEV1/FVC ratio",0.0463,0,0.2479,0.05,0.0465,0.6049,0.215982721382289,-0.647948164146868,1.29589632829374,0.2477,0.0214,0.0863948324586193,0.05,0.0464,0.8907,0,-0.647948164146868,0.863930885529158,0.2477,0.0131,-0.0057,18.9083969465649,-43.4561403508772,0.05,0.005,-0.0109122554199072,1.63184933687791e-204
"Gamma glutamyltransferase",0.0253,0,0.1748,1e-04,0.0253,0.8357,0,-0.790513833992095,0.790513833992095,0.1746,-0.0088,-0.0504009163802978,1e-04,0.0257,0.224,1.58102766798419,-0.790513833992095,3.95256916996047,0.1669,-0.0132,-0.0236,-12.6439393939394,-7.07203389830508,1e-04,1e-06,-0.0468781335766612,2.05999464155941e-134
"Glucose",0.0096,0,0.0976,1e-08,0.0096,0.9675,0,-2.08333333333333,2.08333333333333,0.0975,-0.0064,-0.0656410256410256,1e-08,0.0097,0.3562,2.08333333333333,-2.08333333333333,5.20833333333333,0.0979,-0.0035,-0.0128,-27.9714285714286,-7.6484375,1e-08,0.01,-0.0950029303301709,1.90461255346161e-47
"HbA1c",0.0394,0,0.1966,0.01,0.039,0.1486,-0.761421319796954,-2.03045685279188,0.253807106598985,0.1961,-0.0186,-0.0948495665476797,0.01,0.0405,0.024,2.79187817258883,0.253807106598985,5.0761421319797,0.1944,-0.0159,-0.0333,-12.2264150943396,-5.83783783783784,0.01,1e-08,-0.19778830293027,7.40350115748384e-210
"HbA1c 0",0.0618,0,0.2422,0.01,0.0616,0.3064,-0.161812297734628,-0.647249190938511,0.161812297734628,0.2419,-0.0117,-0.0483670938404299,0.01,0.0634,0.0056,2.75080906148867,0.809061488673139,4.69255663430421,0.2456,-0.0235,-0.039,-10.4510638297872,-6.2974358974359,0.01,1e-06,-0.234278240403936,0
"HDL",0.1079,0,0.2968,0.01,0.1079,0.9093,0,-0.278035217794254,0.185356811862836,0.2965,-0.0097,-0.0327150084317032,0.01,0.1079,0.8951,0,-0.278035217794254,0.278035217794254,0.2968,-0.0041,0.0104,-72.390243902439,28.5384615384615,0.01,1e-06,-0.0409024812286802,0
"HDL 0",0.1121,0,0.3042,0.01,0.112,0.8705,0,-0.178412132024978,0.178412132024978,0.304,-0.0073,-0.0240131578947368,0.01,0.1121,0.9259,0,-0.178412132024978,0.178412132024978,0.3044,0.004,0.0074,76.1,41.1351351351351,0.01,0.005,-0.0369200549638747,0
"BMD Heel T-score",0.0892,0,0.2967,1e-04,0.0894,0.292,0.224215246636771,-0.224215246636771,0.560538116591928,0.2964,-0.011,-0.0371120107962213,1e-04,0.0888,0.1932,-0.336322869955157,-1.00896860986547,0.224215246636771,0.2944,0.002,-0.0161,147.2,-18.2857142857143,1e-04,1e-06,0.128822350782135,1.28951889449799e-251
"Height",0.2406,0,0.3432,0.01,0.2407,0.6779,0,-0.0415627597672485,0.0831255195344971,0.3433,0.0057,0.0166035537430819,0.01,0.2405,0.2108,-0.0415627597672485,-0.166251039068994,0.0415627597672485,0.3432,0.0033,0.0065,104,52.8,0.01,1e-04,0.142469135610574,0
"Height 0",0.239,0,0.3427,0.01,0.239,0.8767,0,-0.0418410041841004,0.0418410041841004,0.3427,0.003,0.00875401225561716,0.01,0.2389,0.1016,-0.0418410041841004,-0.125523012552301,0,0.3427,-8e-04,0.005,-428.375,68.54,0.01,0.01,0.142369156514124,0
"Hip circumference",0.0634,0,0.2704,0.1,0.0635,0.4268,0.157728706624606,-0.315457413249211,0.630914826498423,0.2708,0.0141,0.0520679468242245,0.1,0.0634,0.8817,0,-0.630914826498423,0.473186119873817,0.2702,0.0112,-0.0063,24.125,-42.8888888888889,0.1,0.5,-0.0323796049163425,0
"IGF-1",0.085,0,0.2973,0.01,0.0849,0.7033,0,-0.117647058823529,0.117647058823529,0.2974,0.0051,0.0171486213853396,0.01,0.0852,0.0992,0.235294117647059,0,0.588235294117647,0.2975,-0.0097,-0.002,-30.6701030927835,-148.75,0.01,0.001,0.23531191707177,0
"LDL",0.0826,0,0.2772,1e-04,0.0834,0.1326,0.968523002421308,-0.36319612590799,2.17917675544794,0.2787,0.0451,0.161822748475063,1e-04,0.0897,2e-04,8.5956416464891,5.69007263922518,11.3801452784504,0.2187,0.0911,0.0599,2.4006586169045,3.65108514190317,1e-04,1e-08,-0.0427410104623349,0
"LDL 0",0.0793,0,0.2709,1e-04,0.0801,0.1524,1.00882723833544,-0.504413619167718,2.52206809583859,0.2727,0.0499,0.182984965163183,1e-04,0.0874,2e-04,10.2143757881463,7.06179066834805,13.3669609079445,0.2068,0.0985,0.0588,2.0994923857868,3.51700680272109,1e-04,1e-10,-0.0315660653448184,0
