"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"Alanine aminotransferase",0.0032,0,0.1574,1e-04,0.0031,0.9001,0,-18.75,25,0.157,0.0444,0.282802547770701,1e-04,0.0033,0.5579,6.25,-15.625,28.125,0.1509,0.0296,0.0062,5.09797297297297,24.3387096774194,1e-04,1e-08
"Alkaline phosphatase",0.021,0,0.2902,0.001,0.021,0.3948,0,-0.476190476190476,0,0.2902,0.0021,0.00723638869745003,0.001,0.0219,0.0638,4.28571428571428,-0.476190476190476,8.57142857142857,0.2838,0.0349,0.0148,8.13180515759312,19.1756756756757,0.001,1e-06
"Apolipoprotein A",0.0214,0,0.2815,0.01,0.0213,0.4022,-0.467289719626168,-1.86915887850467,0.467289719626168,0.2818,-0.011,-0.0390347764371895,0.01,0.0232,0.0052,8.41121495327103,2.33644859813084,14.9532710280374,0.2775,-0.0135,-0.0345,-20.5555555555556,-8.04347826086956,0.01,1e-04
"Apolipoprotein A 0",0.0244,0,0.2806,0.005,0.0245,0.2006,0.40983606557377,0,0.819672131147541,0.2805,0.0049,0.0174688057040998,0.005,0.024,0.5409,-1.63934426229508,-6.9672131147541,3.68852459016393,0.2771,0.0215,0.018,12.8883720930233,15.3944444444444,0.005,1e-08
"Apolipoprotein B",0.1026,0,0.3363,1e-04,0.1023,0.4126,-0.292397660818713,-1.07212475633528,0.389863547758285,0.3363,-0.0192,-0.0570918822479929,1e-04,0.1126,2e-04,9.74658869395712,7.01754385964912,12.5730994152047,0.3219,-0.0164,-0.0507,-19.6280487804878,-6.3491124260355,1e-04,1e-10
"Apolipoprotein B 0",0.1035,0,0.3393,1e-04,0.1035,0.8281,0.0966183574879227,-0.579710144927536,0.676328502415459,0.3393,-0.0152,-0.044798113763631,1e-04,0.1153,2e-04,11.4009661835749,8.5024154589372,14.2995169082126,0.3232,-0.0205,-0.0503,-15.7658536585366,-6.42544731610338,1e-04,1e-10
"Arm fat-free mass left",0.0158,0,0.1805,0.05,0.0165,0.4144,4.43037974683544,-5.69620253164557,16.4556962025316,0.1798,0.0575,0.31979977753059,0.05,0.0151,0.1966,-5.06329113924051,-12.0253164556962,2.53164556962025,0.1811,0.0252,-0.0249,7.18650793650794,-7.27309236947791,0.05,0.5
"Arm fat-free mass left 0",0.0175,0,0.184,0.05,0.0171,0.0372,-2.28571428571429,-4,0,0.1837,0.0116,0.0631464344039194,0.05,0.0172,0.2862,-1.14285714285714,-3.42857142857143,1.14285714285714,0.1835,0.0097,-0.0039,18.9175257731959,-47.051282051282,0.05,0.1
"Aspartate aminotransferase",0.0013,0.0024,0.1228,0.001,0.0014,0.6773,7.69230769230769,-15.3846153846154,38.4615384615385,0.1226,0.0208,0.169657422512235,0.001,0.0017,0.5819,23.0769230769231,-76.9230769230769,115.384615384615,0.1153,0.0442,0.0247,2.60859728506787,4.66801619433198,0.001,1e-08
"Basophil count",0.0034,0,0.1003,1e-08,0.0029,0.0798,-14.7058823529412,-29.4117647058824,2.94117647058824,0.1007,-0.0251,-0.249255213505462,1e-08,0.0035,0.1152,5.88235294117647,0,11.7647058823529,0.1001,-0.0084,-0.0023,-11.9166666666667,-43.5217391304348,1e-08,0.5
"Bilirubin",0.1528,0,0.4937,1e-10,0.1568,6e-04,2.61780104712042,1.17801047120419,4.12303664921466,0.4935,0.0649,0.131509625126646,1e-10,0.1752,2e-04,14.5942408376963,11.7146596858639,17.9973821989529,0.2889,0.1946,0.1226,1.48458376156218,2.35644371941272,1e-10,1e-10
"Bilirubin 0",0.1985,0,0.4931,1e-10,0.1986,0.3532,0,0,0,0.4931,6e-04,0.00121679172581626,1e-10,0.199,0.3014,0.251889168765743,-0.201511335012594,0.705289672544081,0.4907,0.0201,0.0052,24.4129353233831,94.3653846153846,1e-10,1e-04
"Birth weight",0.0062,6e-04,0.1422,0.005,0.0062,0.9041,0,-1.61290322580645,1.61290322580645,0.1419,-0.0026,-0.018322762508809,0.005,0.0065,0.5791,4.83870967741935,-11.2903225806452,20.9677419354839,0.1422,0.0187,-0.0054,7.60427807486631,-26.3333333333333,0.005,0.005
"BMI",0.0128,0,0.2972,0.05,0.013,0.2666,2.34375,-1.5625,6.25,0.2976,-0.0312,-0.104838709677419,0.05,0.0126,0.4162,-0.78125,-3.90625,1.5625,0.2969,0.0086,-0.0118,34.5232558139535,-25.1610169491525,0.05,0.05
"Calcium",0.0065,0,0.2128,0.001,0.0065,0.8139,0,0,0,0.2128,1e-04,0.000469924812030075,0.001,0.0064,0.7031,-1.53846153846154,-6.15384615384615,3.07692307692308,0.2131,0.0111,0.0068,19.1981981981982,31.3382352941177,0.001,0.005
"Cholesterol",0.0529,0,0.2519,1e-06,0.0528,0.8281,-0.189035916824197,-1.89035916824197,1.32325141776938,0.2519,-0.0229,-0.0909090909090909,1e-06,0.0603,2e-04,13.7996219281663,9.64083175803403,18.3364839319471,0.244,-0.0051,-0.0424,-47.843137254902,-5.75471698113208,1e-06,1e-06
"Creatinine",0.0012,0.0035,0.1529,0.01,0.001,0.0282,-25,-50,0,0.1527,0.0248,0.162409954158481,0.01,0.0013,0.2312,8.33333333333333,-8.33333333333333,33.3333333333333,0.151,0.0266,0.0068,5.67669172932331,22.2058823529412,0.01,1e-08
"Creatinine urine",7e-04,0.0204,0.078,0.5,7e-04,0.7941,0,-42.8571428571429,28.5714285714286,0.0778,0.0165,0.212082262210797,0.5,7e-04,0.9669,0,-42.8571428571429,28.5714285714286,0.0802,0.0034,-0.0145,23.5882352941176,-5.53103448275862,0.5,0.5
"Cystatin C",0.0043,0,0.2301,0.01,0.0043,0.037,0,0,2.32558139534884,0.2302,-0.0018,-0.00781928757602085,0.01,0.0043,0.4644,-2.32558139534884,-4.65116279069767,2.32558139534884,0.2302,0.0055,-0.0061,41.8545454545455,-37.7377049180328,0.01,1e-04
"Diastolic BP",0.0033,0,0.1722,0.05,0.0033,0.9849,0,-9.09090909090909,9.09090909090909,0.1724,-0.0212,-0.122969837587007,0.05,0.0032,0.6969,-3.03030303030303,-12.1212121212121,6.06060606060606,0.1719,0.0099,-0.0131,17.3636363636364,-13.1221374045802,0.05,0.1
"Eosinophil count",0.005,0,0.2329,0.01,0.0051,0.7557,2,-6,10,0.2326,0.0275,0.11822871883061,0.01,0.0048,0.3864,-4,-16,6,0.2417,-0.0232,-0.0242,-10.4181034482759,-9.98760330578512,0.01,0.001
"FEV1/FVC ratio",NA,NA,0.2476,0.01,NA,NA,NA,NA,NA,0.2481,0.0207,0.0834340991535671,0.01,NA,NA,NA,NA,NA,0.2473,0.0122,0.0105,20.2704918032787,23.552380952381,0.01,1e-04
"Gamma glutamyltransferase",0.0043,0,0.1751,1e-04,0.0047,0.1342,9.30232558139535,-2.32558139534884,23.2558139534884,0.1749,0.031,0.17724413950829,1e-04,0.0043,0.9825,0,-13.953488372093,13.953488372093,0.1692,0.0271,0.0049,6.24354243542435,34.530612244898,1e-04,1e-10
"Glucose",9e-04,0.015,0.0997,1e-08,9e-04,0.6449,0,-22.2222222222222,22.2222222222222,0.0994,0.0157,0.1579476861167,1e-08,9e-04,0.9969,0,-22.2222222222222,11.1111111111111,0.0998,-0.0073,-0.0019,-13.6712328767123,-52.5263157894737,1e-08,1e-06
"HbA1c",0.0053,0,0.1976,0.01,0.0053,0.9827,0,-7.54716981132075,9.43396226415094,0.1975,0.0276,0.139746835443038,0.01,0.0059,0.4236,9.43396226415094,-15.0943396226415,35.8490566037736,0.1906,0.0423,0.0393,4.50591016548463,4.8498727735369,0.01,1e-06
"HbA1c 0",0.0089,0,0.2439,0.01,0.0089,0.9403,0,-4.49438202247191,5.61797752808989,0.2437,0.0254,0.104226508001641,0.01,0.0098,0.3706,10.1123595505618,-11.2359550561798,32.5842696629213,0.232,0.0615,0.0544,3.77235772357724,4.26470588235294,0.01,1e-10
"HDL",0.0309,0,0.2961,0.01,0.0307,0.5907,-0.647249190938511,-3.23624595469256,1.94174757281553,0.2969,-0.0325,-0.109464466150219,0.01,0.0421,2e-04,36.2459546925566,22.3300970873786,50.1618122977346,0.2758,-0.0332,-0.0865,-8.30722891566265,-3.18843930635838,0.01,1e-06
"HDL 0",0.0307,0,0.3048,0.01,0.0307,0.2298,0.325732899022801,0,0.325732899022801,0.3047,0.0037,0.0121430915654742,0.01,0.0333,2e-04,8.79478827361564,4.56026058631922,13.0293159609121,0.3034,-0.0029,-0.0267,-104.620689655172,-11.3632958801498,0.01,1e-06
"BMD Heel T-score",0.0127,0,0.2962,1e-04,0.0127,0.9573,0,-3.1496062992126,3.93700787401575,0.2963,0.017,0.0573742828214647,1e-04,0.013,0.5255,2.36220472440945,-4.7244094488189,10.2362204724409,0.295,0.0259,-8e-04,11.3899613899614,-368.75,1e-04,0.5
"Height",0.0368,0,0.3437,0.01,0.0367,0.6445,-0.271739130434783,-1.35869565217391,0.815217391304348,0.3435,0.0156,0.045414847161572,0.01,0.037,0.4342,0.543478260869565,-0.815217391304348,1.90217391304348,0.3427,0.0155,-0.001,22.1096774193548,-342.7,0.01,0.5
"Height 0",0.036,0,0.3438,0.01,0.036,0.6329,0,0,0,0.3438,3e-04,0.00087260034904014,0.01,0.0363,0.2342,0.833333333333333,-0.555555555555556,1.94444444444444,0.3438,0.0138,7e-04,24.9130434782609,491.142857142857,0.01,0.5
"Hip circumference",0.0078,0,0.2706,0.1,0.0081,0.317,3.84615384615385,-3.84615384615385,15.3846153846154,0.2712,-0.0555,-0.204646017699115,0.1,0.0077,0.7373,-1.28205128205128,-6.41025641025641,3.84615384615385,0.2774,0.0319,-0.0048,8.69592476489028,-57.7916666666667,0.1,0.5
"IGF-1",0.0147,0,0.3005,0.01,0.0147,0.072,0,-0.680272108843538,0,0.3005,0.0017,0.00565723793677205,0.01,0.015,0.2884,2.04081632653061,-2.04081632653061,6.12244897959184,0.3004,0.0181,-0.0182,16.5966850828729,-16.5054945054945,0.01,0.5
"LDL",0.0727,0,0.277,1e-04,0.0725,0.7557,-0.275103163686382,-1.92572214580468,1.37551581843191,0.277,-0.0297,-0.107220216606498,1e-04,0.0876,2e-04,20.4951856946355,15.130674002751,25.8596973865199,0.2522,-0.0178,-0.0614,-14.1685393258427,-4.10749185667752,1e-04,1e-10
"LDL 0",0.0714,0,0.2708,1e-04,0.0713,0.9309,0,-1.5406162464986,1.40056022408964,0.2708,-0.0252,-0.0930576070901034,1e-04,0.0875,2e-04,22.6890756302521,17.0868347338936,28.4313725490196,0.2455,-0.0206,-0.0584,-11.9174757281553,-4.20376712328767,1e-04,1e-10
"Leukocyte count",0.005,0,0.2183,0.1,0.005,0.6045,0,0,0,0.2183,-5e-04,-0.00229042601923958,0.1,0.0051,0.2,4,-2,8,0.2199,-0.0064,-0.012,-34.359375,-18.325,0.1,0.5
"Lipoprotein a",0.0164,0,0.693,1e-10,0.0164,0.6699,0,-0.609756097560976,0.609756097560976,0.693,-0.0093,-0.0134199134199134,1e-10,0.0177,0.1536,7.92682926829268,-3.04878048780488,18.2926829268293,0.6571,-0.0898,-0.1352,-7.3173719376392,-4.86020710059172,1e-10,1e-10
