"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"Alanine aminotransferase",0.0129,0,0.1574,1e-04,0.013,0.9173,1.55038759689922,-17.8294573643411,24.031007751938,0.157,0.0444,0.282802547770701,1e-04,0.0129,0.9631,0.775193798449612,-19.3798449612403,24.8062015503876,0.1509,0.0296,0.0062,5.09797297297297,24.3387096774194,1e-04,1e-08
"Alkaline phosphatase",0.0484,0,0.2902,0.001,0.0484,0.8765,0,-0.206611570247934,0.206611570247934,0.2902,0.0021,0.00723638869745003,0.001,0.0517,0.0232,6.81818181818182,1.03305785123967,13.0165289256198,0.2838,0.0349,0.0148,8.13180515759312,19.1756756756757,0.001,1e-06
"Apolipoprotein A",0.0434,0,0.2815,0.01,0.0435,0.5601,0.460829493087558,-0.921658986175115,1.61290322580645,0.2818,-0.011,-0.0390347764371895,0.01,0.0463,0.068,6.68202764976958,-0.460829493087558,14.2857142857143,0.2775,-0.0135,-0.0345,-20.5555555555556,-8.04347826086956,0.01,1e-04
"Apolipoprotein A 0",0.0498,0,0.2806,0.005,0.0498,0.7989,0,-0.401606425702811,0.602409638554217,0.2805,0.0049,0.0174688057040998,0.005,0.0511,0.254,2.61044176706827,-2.00803212851406,7.2289156626506,0.2771,0.0215,0.018,12.8883720930233,15.3944444444444,0.005,1e-08
"Apolipoprotein B",0.0707,0,0.3363,1e-04,0.0708,0.8871,0.141442715700141,-1.41442715700141,1.6973125884017,0.3363,-0.0192,-0.0570918822479929,1e-04,0.0833,2e-04,17.8217821782178,9.19377652050919,26.8741159830269,0.3219,-0.0164,-0.0507,-19.6280487804878,-6.3491124260355,1e-04,1e-10
"Apolipoprotein B 0",0.0705,0,0.3393,1e-04,0.0705,0.9535,0,-1.41843971631206,1.27659574468085,0.3393,-0.0152,-0.044798113763631,1e-04,0.0854,2e-04,21.1347517730496,12.0567375886525,30.6382978723404,0.3232,-0.0205,-0.0503,-15.7658536585366,-6.42544731610338,1e-04,1e-10
"Arm fat-free mass left",0.0339,0,0.1805,0.05,0.0375,0.1378,10.6194690265487,-2.94985250737463,27.7286135693215,0.1798,0.0575,0.31979977753059,0.05,0.0346,0.6489,2.06489675516224,-6.19469026548673,10.9144542772861,0.1811,0.0252,-0.0249,7.18650793650794,-7.27309236947791,0.05,0.5
"Arm fat-free mass left 0",0.0386,0,0.184,0.05,0.0386,0.9051,0,-2.07253886010363,2.59067357512953,0.1837,0.0116,0.0631464344039194,0.05,0.0383,0.5573,-0.77720207253886,-3.10880829015544,1.55440414507772,0.1835,0.0097,-0.0039,18.9175257731959,-47.051282051282,0.05,0.1
"Aspartate aminotransferase",0.0067,1e-04,0.1228,0.001,0.0062,0.3208,-7.46268656716418,-20.8955223880597,8.95522388059701,0.1226,0.0208,0.169657422512235,0.001,0.0074,0.7703,8.95522388059701,-55.2238805970149,76.1194029850746,0.1153,0.0442,0.0247,2.60859728506787,4.66801619433198,0.001,1e-08
"Basophil count",0.0051,5e-04,0.1003,1e-08,0.0045,0.3128,-11.7647058823529,-35.2941176470588,11.7647058823529,0.1007,-0.0251,-0.249255213505462,1e-08,0.0047,0.0388,-7.84313725490196,-15.6862745098039,0,0.1001,-0.0084,-0.0023,-11.9166666666667,-43.5217391304348,1e-08,0.5
