"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1","c_effect","pgs_gxc_cor","PGS_pv_ols"
"Alanine aminotrans",0.0206,0,0.1574,1e-04,0.0217,0.0396,5.33980582524272,0,11.1650485436893,0.157,0.0444,0.282802547770701,1e-04,0.0224,2e-04,8.7378640776699,4.36893203883495,13.1067961165049,0.1509,0.0296,0.0062,5.09797297297297,24.3387096774194,1e-04,1e-08,0.269443178959699,0.28226560610992,8.37554257815954e-110
"Alkaline phosphatase",0.0859,0,0.2902,0.001,0.086,0.2286,0,0,0.116414435389988,0.2902,0.0021,0.00723638869745003,0.001,0.088,2e-04,2.44470314318976,1.39697322467986,3.49243306169965,0.2838,0.0349,0.0148,8.13180515759312,19.1756756756757,0.001,1e-06,-0.0135664362084483,0.183114770583094,0
"Apolipoprotein A",0.0874,0,0.2815,0.01,0.0878,0.0138,0.34324942791762,0.11441647597254,0.68649885583524,0.2818,-0.011,-0.0390347764371895,0.01,0.0898,2e-04,2.74599542334096,1.48741418764302,4.0045766590389,0.2775,-0.0135,-0.0345,-20.5555555555556,-8.04347826086956,0.01,1e-04,-0.393762706399199,-0.113088843892895,0
"Apolipoprotein A 0",0.09,0,0.2806,0.005,0.0899,0.5789,0,-0.222222222222222,0.111111111111111,0.2805,0.0049,0.0174688057040998,0.005,0.0905,0.1826,0.555555555555556,-0.333333333333333,1.44444444444444,0.2771,0.0215,0.018,12.8883720930233,15.3944444444444,0.005,1e-08,-0.401900532833291,0.160280879021886,0
"Apolipoprotein B",0.1075,0,0.3363,1e-04,0.108,0.046,0.372093023255814,0,0.744186046511628,0.3363,-0.0192,-0.0570918822479929,1e-04,0.1078,0.6689,0.27906976744186,-0.930232558139535,1.3953488372093,0.3219,-0.0164,-0.0507,-19.6280487804878,-6.3491124260355,1e-04,1e-10,0.0110748256686844,-0.257163579086582,0
"Apolipoprotein B 0",0.1095,0,0.3393,1e-04,0.1099,0.0178,0.365296803652968,0.091324200913242,0.639269406392694,0.3393,-0.0152,-0.044798113763631,1e-04,0.11,0.4654,0.45662100456621,-0.730593607305936,1.64383561643836,0.3232,-0.0205,-0.0503,-15.7658536585366,-6.42544731610338,1e-04,1e-10,0.00829874585138744,-0.275098410776265,0
"Arm fat-free mass left",0.0953,0,0.1805,0.05,0.1068,2e-04,12.0671563483736,9.54879328436516,14.6904512067156,0.1798,0.0575,0.31979977753059,0.05,0.1008,2e-04,5.77124868835257,4.09233997901364,7.4501573976915,0.1811,0.0252,-0.0249,7.18650793650794,-7.27309236947791,0.05,0.5,0.829516635754228,0.493716048310688,0
"Arm fat-free mass left 0",0.1043,0,0.184,0.05,0.1051,4e-04,0.767018216682646,0.287631831255992,1.2464046021093,0.1837,0.0116,0.0631464344039194,0.05,0.1046,0.086,0.383509108341323,-0.0958772770853308,0.767018216682646,0.1835,0.0097,-0.0039,18.9175257731959,-47.051282051282,0.05,0.1,0.840372931557594,0.0787845700737274,0
"Aspartate aminotrans",0.0134,0,0.1228,0.001,0.0138,0.075,2.98507462686567,0,7.46268656716418,0.1226,0.0208,0.169657422512235,0.001,0.0149,0.0448,11.1940298507463,0,23.8805970149254,0.1153,0.0442,0.0247,2.60859728506787,4.66801619433198,0.001,1e-08,0.182778905393265,0.157267094982406,1.83269579905351e-71
"Basophill count",0.0114,0,0.1003,1e-08,0.0114,0.9367,0,-7.01754385964912,6.14035087719298,0.1007,-0.0251,-0.249255213505462,1e-08,0.0115,0.2222,0.87719298245614,-0.87719298245614,2.63157894736842,0.1001,-0.0084,-0.0023,-11.9166666666667,-43.5217391304348,1e-08,0.5,-0.0273623477349991,-0.0343180909663461,3.23497614864533e-62
"Bilirubin",0.2527,0,0.4937,1e-10,0.2564,2e-04,1.42461416699644,0.672734467748318,2.17649386624456,0.4935,0.0649,0.131509625126646,1e-10,0.2623,2e-04,3.7989711119905,2.77008310249307,4.86743173723783,0.2889,0.1946,0.1226,1.48458376156218,2.35644371941272,1e-10,1e-10,0.233490082370635,0.91968032688922,0
"Bilirubin 0",0.2609,0,0.4931,1e-10,0.2609,0.9225,0,0,0,0.4931,6e-04,0.00121679172581626,1e-10,0.2609,0.7745,-0.0383288616328095,-0.191644308164048,0.153315446531238,0.4907,0.0201,0.0052,24.4129353233831,94.3653846153846,1e-10,1e-04,0.272917512145709,0.148201998246892,0
"Birth weight",0.0154,0,0.1422,0.005,0.0154,0.6673,0,-0.649350649350649,0.649350649350649,0.1419,-0.0026,-0.018322762508809,0.005,0.0149,0.053,-3.24675324675325,-7.14285714285714,0,0.1422,0.0187,-0.0054,7.60427807486631,-26.3333333333333,0.005,0.005,0.170370227885336,0.010049426096906,1.74911385469638e-45
