"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"Alanine aminotrans",0.0031,0,0.1557,1e-04,0.0031,0.9227,0,-6.45161290322581,6.45161290322581,0.156,0.0288,0.184615384615385,1e-04,0.0031,0.9113,0,-3.2258064516129,3.2258064516129,0.1557,0.0041,-0.0043,37.9756097560976,-36.2093023255814,1e-04,0.005
"Alkaline phosphatase",0.0208,0,0.2909,0.001,0.0209,0.8337,0,-0.961538461538462,1.44230769230769,0.291,0.0117,0.0402061855670103,0.001,0.0209,0.5553,0.480769230769231,-1.44230769230769,2.40384615384615,0.2909,0.0091,0.0128,31.967032967033,22.7265625,0.001,0.5
"Apolipoprotein A",0.0213,0,0.2794,0.01,0.0213,0.9009,0,0,0,0.2794,0.001,0.00357909806728704,0.01,0.0227,2e-04,6.57276995305164,2.8169014084507,10.3286384976526,0.2783,-0.0019,-0.0201,-146.473684210526,-13.8457711442786,0.01,1e-04
"Apolipoprotein A 0",0.023,0,0.2803,0.01,0.023,0.8371,0,-0.434782608695652,0.434782608695652,0.2802,0.0107,0.0381870092790864,0.01,0.0244,0.087,6.08695652173913,-0.869565217391304,13.0434782608696,0.2785,-0.014,-0.0296,-19.8928571428571,-9.40878378378378,0.01,1e-06
"Apolipoprotein B",0.1158,0,0.3897,1e-04,0.1165,0.4652,0.604490500863558,-0.949913644214162,2.15889464594128,0.3882,-0.1031,-0.2655847501288,1e-04,0.1349,2e-04,16.4939550949914,12.6079447322971,20.3799654576857,0.3401,-0.0069,-0.0945,-49.2898550724638,-3.5989417989418,1e-04,1e-10
"Apolipoprotein B 0",0.1194,0,0.3945,1e-04,0.1198,0.3634,0.251256281407035,-0.33500837520938,0.921273031825796,0.3939,-0.0396,-0.100533130236101,1e-04,0.1204,0.148,0.83752093802345,-0.33500837520938,1.92629815745394,0.3914,0.0125,-0.0215,31.312,-18.2046511627907,1e-04,1e-06
"Arm fat-free mass left",0.0167,0,0.1795,0.05,0.0166,0.5543,-0.598802395209581,-2.39520958083832,1.19760479041916,0.1797,0.0215,0.119643850862549,0.05,0.0167,0.3986,-0.598802395209581,-1.19760479041916,0.598802395209581,0.1795,0.0079,1e-04,22.7215189873418,1795,0.05,1e-08
"Arm fat-free mass left 0",0.0187,0,0.1835,0.05,0.0186,0.5943,0,-1.06951871657754,0.53475935828877,0.1836,0.0111,0.0604575163398693,0.05,0.0186,0.7423,-0.53475935828877,-2.13903743315508,1.60427807486631,0.1835,-0.004,-0.0046,-45.875,-39.8913043478261,0.05,1e-04
"Aspartate aminotrans",0.0021,1e-04,0.1214,1e-04,0.0021,0.5769,0,-4.76190476190476,4.76190476190476,0.1216,0.0168,0.138157894736842,1e-04,0.002,0.5219,-4.76190476190476,-19.047619047619,9.52380952380953,0.1214,0.0063,0.0098,19.2698412698413,12.3877551020408,1e-04,0.5
"Basophill count",0.0035,0,0.1006,1e-08,0.0034,0.0962,-2.85714285714286,-8.57142857142857,0,0.1005,-0.0149,-0.148258706467662,1e-08,0.0035,0.8595,0,-8.57142857142857,5.71428571428571,0.1005,0.0082,-0.0037,12.2560975609756,-27.1621621621622,1e-08,0.01
