"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"Alanine aminotransferase",0.0099,0,0.1557,1e-04,0.0101,0.5021,2.02020202020202,-3.03030303030303,7.07070707070707,0.156,0.0288,0.184615384615385,1e-04,0.01,0.5233,1.01010101010101,-2.02020202020202,4.04040404040404,0.1557,0.0041,-0.0043,37.9756097560976,-36.2093023255814,1e-04,0.005
"Alkaline phosphatase",0.0499,0,0.2909,0.001,0.0499,0.8857,0,-0.601202404809619,0.400801603206413,0.291,0.0117,0.0402061855670103,0.001,0.05,0.8629,0.200400801603206,-2.20440881763527,2.40480961923848,0.2909,0.0091,0.0128,31.967032967033,22.7265625,0.001,0.5
"Apolipoprotein A",0.0459,0,0.2794,0.01,0.046,0.2574,0,0,0,0.2794,0.001,0.00357909806728704,0.01,0.0451,0.2094,-1.74291938997821,-4.79302832244009,1.08932461873638,0.2783,-0.0019,-0.0201,-146.473684210526,-13.8457711442786,0.01,1e-04
"Apolipoprotein A 0",0.0462,0,0.2803,0.01,0.0464,0.258,0.432900432900433,-0.216450216450216,0.865800865800866,0.2802,0.0107,0.0381870092790864,0.01,0.0487,0.0708,5.1948051948052,-0.432900432900433,11.2554112554113,0.2785,-0.014,-0.0296,-19.8928571428571,-9.40878378378378,0.01,1e-06
"Apolipoprotein B",0.0842,0,0.3897,1e-04,0.0847,0.6567,0.593824228028504,-2.13776722090261,3.44418052256532,0.3882,-0.1031,-0.2655847501288,1e-04,0.094,0.0014,11.7577197149644,4.39429928741093,19.3586698337292,0.3401,-0.0069,-0.0945,-49.2898550724638,-3.5989417989418,1e-04,1e-10
"Apolipoprotein B 0",0.0822,0,0.3945,1e-04,0.0823,0.8431,0.121654501216545,-1.09489051094891,1.338199513382,0.3939,-0.0396,-0.100533130236101,1e-04,0.0803,0.0616,-2.31143552311436,-4.98783454987835,0.121654501216545,0.3914,0.0125,-0.0215,31.312,-18.2046511627907,1e-04,1e-06
"Arm fat-free mass left",0.034,0,0.1795,0.05,0.0337,0.415,-0.88235294117647,-3.23529411764706,1.47058823529412,0.1797,0.0215,0.119643850862549,0.05,0.033,0.021,-3.23529411764706,-6.17647058823529,-0.588235294117647,0.1795,0.0079,1e-04,22.7215189873418,1795,0.05,1e-08
"Arm fat-free mass left 0",0.0404,0,0.1835,0.05,0.0403,0.5915,-0.247524752475248,-1.23762376237624,0.742574257425743,0.1836,0.0111,0.0604575163398693,0.05,0.04,0.1678,-0.99009900990099,-2.47524752475248,0.495049504950495,0.1835,-0.004,-0.0046,-45.875,-39.8913043478261,0.05,1e-04
"Aspartate aminotransferase",0.0083,0,0.1214,1e-04,0.0082,0.5867,-1.20481927710843,-4.81927710843374,2.40963855421687,0.1216,0.0168,0.138157894736842,1e-04,0.0089,0.0342,8.43373493975904,1.20481927710843,15.6626506024096,0.1214,0.0063,0.0098,19.2698412698413,12.3877551020408,1e-04,0.5
"Basophil count",0.0057,2e-04,0.1006,1e-08,0.0057,0.6977,0,-3.50877192982456,7.01754385964912,0.1005,-0.0149,-0.148258706467662,1e-08,0.0056,0.7207,-1.75438596491228,-10.5263157894737,7.01754385964912,0.1005,0.0082,-0.0037,12.2560975609756,-27.1621621621622,1e-08,0.01
"Bilirubin",0.0635,0,0.4937,1e-10,0.0634,0.2716,-0.15748031496063,-0.31496062992126,0,0.4936,-0.0049,-0.00992706645056726,1e-10,0.0629,0.2298,-0.78740157480315,-2.36220472440945,0.47244094488189,0.4937,0.0058,0.0144,85.1206896551724,34.2847222222222,1e-10,1e-04
"Bilirubin 0",0.0563,0,0.4932,1e-10,0.0561,0.2392,-0.355239786856128,-1.06571936056838,0.177619893428064,0.493,-0.0212,-0.0430020283975659,1e-10,0.0563,0.9169,0,-1.42095914742451,1.24333925399645,0.4932,-0.005,0.0125,-98.64,39.456,1e-10,0.005
"Birth weight",0.0167,1e-04,0.1417,0.005,0.0167,0.8963,0,-2.39520958083832,2.39520958083832,0.1413,-0.0105,-0.0743099787685775,0.005,0.0163,0.5265,-2.39520958083832,-12.5748502994012,5.98802395209581,0.1409,0.0102,0.0113,13.8137254901961,12.4690265486726,0.005,0.5
"BMI",0.0229,0,0.288,0.1,0.0228,0.6555,-0.436681222707424,-1.74672489082969,1.31004366812227,0.2881,0.0192,0.0666435265532801,0.1,0.0227,0.403,-0.873362445414847,-3.05676855895197,1.31004366812227,0.288,-0.0096,-0.005,-30,-57.6,0.1,0.001
"Calcium",0.0086,0,0.2114,0.001,0.0084,0.1302,-2.32558139534884,-5.81395348837209,1.16279069767442,0.2114,0.0175,0.0827814569536424,0.001,0.0087,0.8939,1.16279069767442,-11.6279069767442,12.7906976744186,0.2114,-0.0135,-0.0075,-15.6592592592593,-28.1866666666667,0.001,1e-06
"Cholesterol",0.0651,0,0.3139,1e-04,0.0656,0.7065,0.921658986175115,-3.53302611367127,5.52995391705069,0.3134,-0.1027,-0.32769623484365,1e-04,0.0805,0.001,23.6559139784946,10.4454685099846,37.9416282642089,0.2771,-0.0058,-0.0986,-47.7758620689655,-2.81034482758621,1e-04,1e-10
"Creatinine",0.0079,0,0.1527,0.01,0.0083,0.1202,6.32911392405063,-1.26582278481013,18.9873417721519,0.1526,0.031,0.203145478374836,0.01,0.0081,0.6189,2.53164556962025,-11.3924050632911,15.1898734177215,0.1578,0.0037,-0.0219,42.6486486486486,-7.2054794520548,0.01,0.01
"Creatinine urine",4e-04,0.3574,0.077,0.5,3e-04,0.6071,0,-50,25,0.077,0.0112,0.145454545454545,0.5,4e-04,0.9153,0,-100,125,0.077,0.0111,-0.007,6.93693693693694,-11,0.5,0.001
"Cystatin C",0.0228,0,0.2286,0.01,0.0235,0.1476,3.07017543859649,-0.87719298245614,7.45614035087719,0.2287,0.0405,0.177087888062965,0.01,0.0233,0.5261,1.75438596491228,-3.94736842105263,7.89473684210526,0.2283,0.0195,-0.003,11.7076923076923,-76.1,0.01,1e-06
"Diastolic BP",0.0147,0,0.1757,0.05,0.0143,0.346,-2.72108843537415,-8.84353741496599,3.40136054421769,0.1757,-0.0471,-0.268070574843483,0.05,0.0145,0.6453,-2.04081632653061,-10.2040816326531,6.12244897959184,0.1748,0.0083,-0.0223,21.0602409638554,-7.83856502242153,0.05,0.5
"Eosinophil count",0.0195,0,0.2331,0.01,0.0195,0.9351,0,-2.56410256410256,2.05128205128205,0.2332,0.0288,0.123499142367067,0.01,0.0195,0.9353,0,-1.02564102564103,1.02564102564103,0.2332,-0.0055,-0.0096,-42.4,-24.2916666666667,0.01,1e-06
"FEV1/FVC ratio",NA,NA,0.2479,0.05,NA,NA,NA,NA,NA,0.2475,-0.0224,-0.0905050505050505,0.05,NA,NA,NA,NA,NA,0.2479,0.0133,-0.0013,18.6390977443609,-190.692307692308,0.05,0.001
"Gamma glutamyltransferase",0.0328,0,0.1733,1e-04,0.0329,0.6187,0.304878048780488,-0.914634146341463,1.82926829268293,0.1733,0.0159,0.0917484131563762,1e-04,0.0341,0.2324,4.26829268292683,-2.13414634146341,14.0243902439024,0.1672,0.0179,0.0159,9.34078212290503,10.5157232704403,1e-04,1e-08
"Glucose",0.0091,0,0.0886,1e-08,0.0106,0.5131,16.4835164835165,-25.2747252747253,81.3186813186813,0.0892,0.0955,1.07062780269058,1e-08,0.0071,0.367,-21.978021978022,-65.9340659340659,29.6703296703297,0.0916,0.0396,-0.0245,2.31313131313131,-3.73877551020408,1e-08,1e-10
"HbA1c",0.0229,0,0.1873,0.01,0.0262,0.1638,14.410480349345,-4.80349344978166,40.6113537117904,0.1885,0.1412,0.749071618037135,0.01,0.0226,0.8237,-1.31004366812227,-13.1004366812227,10.9170305676856,0.1852,0.0444,-0.0095,4.17117117117117,-19.4947368421053,0.01,1e-10
"HbA1c 0",0.0358,0,0.2332,0.01,0.0368,0.5359,2.79329608938548,-5.58659217877095,12.0111731843575,0.2341,0.1018,0.434856898761213,0.01,0.036,0.9005,0.279329608938547,-6.14525139664805,7.26256983240224,0.2304,0.0461,-0.0018,4.99783080260304,-128,0.01,1e-10
"HDL",0.0498,0,0.2935,0.01,0.0492,0.1426,-1.20481927710843,-3.01204819277108,0.401606425702811,0.2937,-0.031,-0.10554988083078,0.01,0.0597,0.0024,19.8795180722892,7.2289156626506,33.3333333333333,0.279,-0.0275,-0.0725,-10.1454545454545,-3.84827586206897,0.01,1e-06
