"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1","c_effect","pgs_gxc_cor","PGS_pv_ols"
"Alanine aminotrans",0.0197,0,0.1557,1e-04,0.0195,0.3448,-0.50761421319797,-2.03045685279188,1.01522842639594,0.156,0.0288,0.184615384615385,1e-04,0.0198,0.0944,0.50761421319797,0,1.01522842639594,0.1557,0.0041,-0.0043,37.9756097560976,-36.2093023255814,1e-04,0.005,0.0704561807059017,-0.000210779969883566,1.02984052929033e-104
"Alkaline phosphatase",0.0868,0,0.2909,0.001,0.0868,0.9981,0,-0.115207373271889,0.115207373271889,0.291,0.0117,0.0402061855670103,0.001,0.0868,0.9803,0,-0.460829493087558,0.460829493087558,0.2909,0.0091,0.0128,31.967032967033,22.7265625,0.001,0.5,0.0171116731590936,0.0148844310543249,0
"Apolipoprotein A",0.0861,0,0.2794,0.01,0.0861,0.2928,0,0,0,0.2794,0.001,0.00357909806728704,0.01,0.0866,0.0734,0.580720092915215,-0.116144018583043,1.27758420441347,0.2783,-0.0019,-0.0201,-146.473684210526,-13.8457711442786,0.01,1e-04,-0.0641897437889336,-0.0644345729740595,0
"Apolipoprotein A 0",0.0874,0,0.2803,0.01,0.0874,0.2738,-0.11441647597254,-0.22883295194508,0.11441647597254,0.2802,0.0107,0.0381870092790864,0.01,0.0885,0.0224,1.1441647597254,0.11441647597254,2.17391304347826,0.2785,-0.014,-0.0296,-19.8928571428571,-9.40878378378378,0.01,1e-06,-0.067235153355918,-0.0774505330887101,0
"Apolipoprotein B",0.1502,0,0.3897,1e-04,0.1515,0.0082,0.865512649800266,0.266311584553928,1.53129161118509,0.3882,-0.1031,-0.2655847501288,1e-04,0.1545,2e-04,2.86284953395473,1.53129161118509,4.12782956058589,0.3401,-0.0069,-0.0945,-49.2898550724638,-3.5989417989418,1e-04,1e-10,-0.316267522289606,-0.514801909144213,0
"Apolipoprotein B 0",0.1552,0,0.3945,1e-04,0.1554,0.3222,0.128865979381443,-0.128865979381443,0.38659793814433,0.3939,-0.0396,-0.100533130236101,1e-04,0.1557,0.0814,0.38659793814433,-0.0644329896907216,0.77319587628866,0.3914,0.0125,-0.0215,31.312,-18.2046511627907,1e-04,1e-06,-0.333005771019081,-0.203049470325861,0
"Arm fat-free mass left",0.0959,0,0.1795,0.05,0.0963,0.0292,0.521376433785193,0,0.938477580813347,0.1797,0.0215,0.119643850862549,0.05,0.0955,0.028,-0.312825860271116,-0.625651720542231,0,0.1795,0.0079,1e-04,22.7215189873418,1795,0.05,1e-08,0.0430042202873898,0.00716669589893183,0
"Arm fat-free mass left 0",0.1055,0,0.1835,0.05,0.1057,0.1834,0.0947867298578199,-0.0947867298578199,0.28436018957346,0.1836,0.0111,0.0604575163398693,0.05,0.1053,0.169,-0.18957345971564,-0.4739336492891,0.0947867298578199,0.1835,-0.004,-0.0046,-45.875,-39.8913043478261,0.05,1e-04,0.0446069597110221,0.00918758049302722,0
"Aspartate aminotrans",0.0116,0,0.1214,1e-04,0.0116,0.6973,0,-0.862068965517242,1.72413793103448,0.1216,0.0168,0.138157894736842,1e-04,0.0114,0.1584,-1.72413793103448,-4.31034482758621,0.862068965517242,0.1214,0.0063,0.0098,19.2698412698413,12.3877551020408,1e-04,0.5,0.0405050740044896,0.0158934502668467,7.58958534514251e-62
"Basophill count",0.0118,0,0.1006,1e-08,0.0117,0.3346,-0.847457627118644,-2.54237288135593,0.847457627118644,0.1005,-0.0149,-0.148258706467662,1e-08,0.0116,0.206,-1.69491525423729,-3.38983050847458,0.847457627118644,0.1005,0.0082,-0.0037,12.2560975609756,-27.1621621621622,1e-08,0.01,0.0149591018804199,0.0111575751859224,2.93208960550761e-64
"Bilirubin",0.2527,0,0.4937,1e-10,0.2527,0.8207,0,-0.0395726157499011,0.0395726157499011,0.4936,-0.0049,-0.00992706645056726,1e-10,0.2525,0.1504,-0.0791452314998022,-0.237435694499406,0.0395726157499011,0.4937,0.0058,0.0144,85.1206896551724,34.2847222222222,1e-10,1e-04,-0.00229953221056418,0.00479551408989812,0
"Bilirubin 0",0.2611,0,0.4932,1e-10,0.261,0.4612,-0.0382995021064726,-0.114898506319418,0.0382995021064726,0.493,-0.0212,-0.0430020283975659,1e-10,0.2609,0.1314,-0.0765990042129452,-0.191497510532363,0.0382995021064726,0.4932,-0.005,0.0125,-98.64,39.456,1e-10,0.005,-0.00703218333800833,0.00410749301749085,0
"Birth weight",0.0154,0,0.1417,0.005,0.0156,0.0842,0.649350649350649,0,1.2987012987013,0.1413,-0.0105,-0.0743099787685775,0.005,0.0151,0.1606,-1.94805194805195,-5.1948051948052,0.649350649350649,0.1409,0.0102,0.0113,13.8137254901961,12.4690265486726,0.005,0.5,-0.0405085981492617,0.0749249789308211,1.35015675280571e-45
"BMI",0.0737,0,0.288,0.1,0.0739,0.0472,0.271370420624152,0,0.542740841248304,0.2881,0.0192,0.0666435265532801,0.1,0.0737,0.8129,0,-0.271370420624152,0.407055630936228,0.288,-0.0096,-0.005,-30,-57.6,0.1,0.001,0.159636469668638,-0.0062880831172922,0
"Calcium",0.0411,0,0.2114,0.001,0.041,0.3138,-0.24330900243309,-0.72992700729927,0.24330900243309,0.2114,0.0175,0.0827814569536424,0.001,0.0408,0.1352,-0.72992700729927,-1.70316301703163,0.24330900243309,0.2114,-0.0135,-0.0075,-15.6592592592593,-28.1866666666667,0.001,1e-06,0.0448441552605169,-0.000521790668071903,4.64618293508425e-201
"Cholesterol",0.1147,0,0.3139,1e-04,0.1158,0.0594,0.959023539668701,0,1.8308631211857,0.3134,-0.1027,-0.32769623484365,1e-04,0.1224,2e-04,6.71316477768091,4.6207497820401,8.71839581517001,0.2771,-0.0058,-0.0986,-47.7758620689655,-2.81034482758621,1e-04,1e-10,-0.380287547705228,-0.371577847416214,0
"Creatinine",0.0246,0,0.1527,0.01,0.0242,0.1216,-1.6260162601626,-3.65853658536585,0.40650406504065,0.1526,0.031,0.203145478374836,0.01,0.0252,0.0248,2.4390243902439,0.40650406504065,4.8780487804878,0.1578,0.0037,-0.0219,42.6486486486486,-7.2054794520548,0.01,0.01,0.057035983898828,0.301055672703642,6.83807610367461e-131
"Creatinine urine",0.0069,0,0.077,0.5,0.0068,0.136,-1.44927536231884,-2.89855072463768,0,0.077,0.0112,0.145454545454545,0.5,0.0065,0.0402,-5.79710144927536,-11.5942028985507,0,0.077,0.0111,-0.007,6.93693693693694,-11,0.5,0.001,0.0217148462173875,0.0118890063819569,2.61372139582831e-38
"Cystatin C",0.0503,0,0.2286,0.01,0.0507,0.1824,0.795228628230616,-0.397614314115308,1.98807157057654,0.2287,0.0405,0.177087888062965,0.01,0.0501,0.5965,-0.397614314115308,-1.59045725646123,0.99403578528827,0.2283,0.0195,-0.003,11.7076923076923,-76.1,0.01,1e-06,0.0816373901278089,0.0729443282418818,5.24381402359917e-269
"Diastolic BP",0.0311,0,0.1757,0.05,0.0316,0.0608,1.60771704180064,0,3.21543408360129,0.1757,-0.0471,-0.268070574843483,0.05,0.032,0.011,2.57234726688103,0.643086816720257,4.82315112540193,0.1748,0.0083,-0.0223,21.0602409638554,-7.83856502242153,0.05,0.5,-0.028584871601034,-0.0340853064654097,8.44134426101927e-166
"Eosinophill count",0.0531,0,0.2331,0.01,0.0531,0.9527,0,-0.564971751412429,0.564971751412429,0.2332,0.0288,0.123499142367067,0.01,0.053,0.5297,-0.188323917137476,-0.753295668549906,0.376647834274953,0.2332,-0.0055,-0.0096,-42.4,-24.2916666666667,0.01,1e-06,0.0370659400027608,-0.0144665401270938,9.40752154342835e-289
"FEV1 FVC ratio",0.0462,0,0.2479,0.05,0.0463,0.6999,0,-0.432900432900433,0.649350649350649,0.2475,-0.0224,-0.0905050505050505,0.05,0.0461,0.2592,-0.432900432900433,-1.08225108225108,0.216450216450216,0.2479,0.0133,-0.0013,18.6390977443609,-190.692307692308,0.05,0.001,-0.0121372790373074,-0.000750635621571033,4.42923683054983e-204
"Gamma glutamyltrans",0.0254,0,0.1733,1e-04,0.0256,0.1236,0.78740157480315,0,1.5748031496063,0.1733,0.0159,0.0917484131563762,1e-04,0.0254,0.9689,0,-2.36220472440945,2.75590551181102,0.1672,0.0179,0.0159,9.34078212290503,10.5157232704403,1e-04,1e-08,0.0649162167903123,0.285992945008133,4.25715706601819e-135
"Glucose",0.0084,0,0.0886,1e-08,0.009,0.4216,8.33333333333333,-9.52380952380953,28.5714285714286,0.0892,0.0955,1.07062780269058,1e-08,0.0085,0.9199,1.19047619047619,-19.047619047619,26.1904761904762,0.0916,0.0396,-0.0245,2.31313131313131,-3.73877551020408,1e-08,1e-10,0.178444911861107,0.410412466860337,8.53782284428223e-42
"HbA1c",0.0387,0,0.1873,0.01,0.0402,0.2722,3.87596899224806,-2.84237726098191,11.1111111111111,0.1885,0.1412,0.749071618037135,0.01,0.0402,0.1068,3.87596899224806,-0.775193798449612,9.04392764857881,0.1852,0.0444,-0.0095,4.17117117117117,-19.4947368421053,0.01,1e-10,0.253582272289032,0.236374791496243,3.46303505201804e-206
"HbA1c 0",0.0629,0,0.2332,0.01,0.0641,0.1878,1.74880763116057,-0.794912559618442,4.61049284578696,0.2341,0.1018,0.434856898761213,0.01,0.0655,0.0024,4.1335453100159,1.58982511923688,6.8362480127186,0.2304,0.0461,-0.0018,4.99783080260304,-128,0.01,1e-10,0.253114846992155,0.178953864419422,0
"HDL",0.1064,0,0.2935,0.01,0.1067,0.2156,0.18796992481203,-0.093984962406015,0.56390977443609,0.2937,-0.031,-0.10554988083078,0.01,0.113,2e-04,6.20300751879699,4.22932330827068,8.17669172932331,0.279,-0.0275,-0.0725,-10.1454545454545,-3.84827586206897,0.01,1e-06,-0.121111158699402,-0.187427771901683,0
"HDL 0",0.1103,0,0.2981,0.01,0.1103,0.7661,0,0,0,0.2981,-0.0031,-0.0103991949010399,0.01,0.1106,0.2718,0.271985494106981,-0.181323662737987,0.634632819582956,0.2976,-0.0054,-0.0152,-55.1111111111111,-19.578947368421,0.01,1e-06,-0.129036718382993,-0.0419542442212848,0
"BMD Heel T-score",0.0896,0,0.2958,1e-04,0.0896,0.6743,0.111607142857143,-0.223214285714286,0.334821428571429,0.2959,0.0166,0.0561000337952011,1e-04,0.0892,0.1496,-0.446428571428572,-1.11607142857143,0.111607142857143,0.2959,0.0073,-0.0152,40.5342465753425,-19.4671052631579,1e-04,0.001,0.0207315702305766,0.0102936883092948,8.23033092059747e-253
"Height",0.2426,0,0.3422,0.01,0.2426,0.1412,-0.0412201154163232,-0.0412201154163232,0,0.3422,0.0058,0.0169491525423729,0.01,0.2425,0.1928,-0.0412201154163232,-0.123660346248969,0.0412201154163232,0.3422,-9e-04,0.0056,-380.222222222222,61.1071428571429,0.01,0.001,-0.0367550367670448,0.0114115230245038,0
"Height 0",0.2414,0,0.3426,0.01,0.2413,0.1374,0,-0.0414250207125104,0,0.3426,0.0044,0.0128429655575015,0.01,0.2412,0.054,-0.0414250207125104,-0.124275062137531,0,0.3426,0.0046,-7e-04,74.4782608695652,-489.428571428571,0.01,0.05,-0.0365204377258067,0.0104918797886794,0
"Hip circumference",0.0612,0,0.2655,0.1,0.0614,0.0256,0.326797385620915,0,0.65359477124183,0.2656,0.0152,0.0572289156626506,0.1,0.0614,0.2106,0.326797385620915,-0.163398692810458,0.816993464052288,0.2661,0.0032,-0.0119,83.15625,-22.3613445378151,0.1,0.5,0.106662020961759,0.0689501404652046,0
"IGF-1",0.0894,0,0.2998,0.01,0.0894,0.5093,0,-0.111856823266219,0.111856823266219,0.2998,0.0095,0.0316877918612408,0.01,0.0893,0.1554,-0.223713646532439,-0.447427293064877,0.111856823266219,0.3001,0.0031,-0.0084,96.8064516129032,-35.7261904761905,0.01,0.5,-0.00387773921980936,0.0726783904394955,0
"LDL",0.1318,0,0.3458,0.001,0.1339,4e-04,1.59332321699545,0.682852807283763,2.42792109256449,0.3447,-0.1167,-0.338555265448216,0.001,0.1384,2e-04,5.00758725341426,3.41426403641882,6.60091047040971,0.3056,-0.0029,-0.0943,-105.379310344828,-3.2407211028632,0.001,1e-10,-0.387411400931035,-0.421956742366086,0
"LDL 0",0.1331,0,0.3418,1e-04,0.1333,0.5795,0.0751314800901578,-0.300525920360631,0.450788880540947,0.3413,-0.0409,-0.119835921476707,1e-04,0.1342,0.0278,0.826446280991736,0.0751314800901578,1.57776108189331,0.3334,0.0016,-0.039,208.375,-8.54871794871795,1e-04,1e-06,-0.415831675337963,-0.22344064095749,0
"Leukocyte count",0.0484,0,0.2125,0.1,0.0484,0.7625,0,-0.206611570247934,0.206611570247934,0.2126,0.0116,0.0545625587958608,0.1,0.0483,0.4262,-0.206611570247934,-0.619834710743802,0.206611570247934,0.2125,0.008,-0.0025,26.5625,-85,0.1,1e-04,0.111657596272289,-0.00189457711710702,3.90337934455747e-263
"Lipoprotein a",0.3745,0,0.6918,1e-10,0.3748,0.009,0.0801068090787717,0.0267022696929239,0.160213618157543,0.692,0.0259,0.0374277456647399,1e-10,0.424,2e-04,13.2176234979973,11.4018691588785,15.0333778371162,0.3933,0.1887,0.3447,2.08426073131955,1.14099216710183,1e-10,1e-10,0.0389361568002951,0.735660033053527,0
